title,year,genres,avg rating,rating,tags
"Man Who Would Be King, The",1975,Adventure,4.03,3.0|4.5|3.0|4.5|4.0|5.0|4.0|4.5|3.0|5.0|3.5|4.0|4.0|4.0|5.0|4.0|3.5,india
Jaws,1975,Action,4.01,2.0|5.0|3.0|3.0|5.0|3.5|5.0|2.0|4.0|5.0|4.0|4.0|5.0|5.0|3.0|5.0|4.0|3.5|2.0|3.0|5.0|5.0|4.0|3.0|4.0|5.0|4.0|5.0|3.5|1.0|3.5|5.0|3.0|3.5|5.0|5.0|3.0|4.0|4.0|3.5|3.0|4.0|5.0|3.0|3.0|5.0|5.0|4.0|4.0|4.0|5.0|5.0|4.0|4.0|3.0|3.5|4.0|5.0|3.0|4.0|4.0|4.0|5.0|5.0|3.0|5.0|4.5|4.0|3.5|2.0|3.5|3.5|5.0|5.0|4.0|4.5|5.0|5.0|3.5|4.0|3.0|5.0|5.0|4.5|5.0|4.5|5.0|3.5|4.0|4.0|2.5,shark
Picnic at Hanging Rock,1975,Drama,4,4.0|4.0|4.0,australia
"Boy and His Dog, A",1975,Sci-Fi,4,4.0|3.5|4.5,N/A
"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!)",1975,Comedy,4,4,N/A
Trilogy of Terror,1975,Horror,4,4,N/A
Royal Flash,1975,Adventure,4,4,N/A
Afonya,1975,Comedy,4,4,N/A
Dog Day Afternoon,1975,Crime,3.93,2.5|5.0|5.0|4.5|2.0|4.0|4.0|4.0|4.0|4.0|5.0|4.0|2.0|2.0|4.5|5.0|4.5|3.5|4.0|3.0|4.5|4.0|5.0|4.0|4.0|4.0|4.5|4.0|3.5|4.0|4.0|3.5|4.0|3.5|3.5|4.0|4.0|5.0,N/A
Three Days of the Condor (3 Days of the Condor),1975,Drama,3.75,3.0|4.0|4.0|4.0|5.0|1.0|3.0|4.0|4.0|4.0|3.5|5.0|5.0|2.5|4.0|4.0,N/A
Barry Lyndon,1975,Drama,3.71,2.0|5.0|4.0|4.5|3.5|3.0|4.0,N/A
"Return of the Pink Panther, The",1975,Comedy,3.69,5.0|3.5|3.0|4.5|4.0|4.0|3.0|4.0|4.0|4.0|1.0|4.0|4.5|4.0|4.0|2.0|3.0|4.0|4.0|3.0|4.0|4.0|4.0|4.0,clousseau
Death Race 2000,1975,Action,3.67,5.0|2.0|4.0,N/A
Nashville,1975,Drama,3.6,4.0|3.0|3.0|5.0|3.0,N/A
Rollerball,1975,Action,3.5,3.5|3.0|5.0|2.5,N/A
"Story of O, The (Histoire d'O)",1975,Drama,3.5,4.0|3.0,N/A
Grey Gardens,1975,Documentary,3.5,3.5,N/A
"Rocky Horror Picture Show, The",1975,Comedy,3.34,3.0|3.0|5.0|5.0|3.0|4.0|1.5|3.0|3.0|2.0|4.5|3.0|3.0|3.0|4.5|3.0|4.5|3.5|5.0|4.0|1.0|3.5|2.0|1.0|3.0|2.0|2.0|3.0|3.5|5.0|4.0|5.0|3.0|3.0|2.5|4.0|4.0|5.0|3.0|3.5|4.0|5.0|1.0|3.0|3.0|2.5|3.0|4.0|3.5|3.5|4.5|2.5|4.5|5.0|2.0|3.5|2.0|1.0|5.0|3.0|3.0|4.5|4.0,N/A
Female Trouble,1975,Comedy,3.25,4.5|2.0,N/A
"Stepford Wives, The",1975,Mystery,3.18,4.0|3.0|3.0|2.5|2.0|4.0|2.5|4.0|3.0|3.0|4.0,N/A
Shampoo,1975,Comedy,3.07,5.0|5.0|2.0|2.0|4.0|2.5|1.0,N/A
Escape to Witch Mountain,1975,Adventure,3.06,3.0|3.5|3.0|4.0|4.0|3.0|2.0|2.0|3.0,N/A
Tommy,1975,Musical,3,3.0|4.0|4.0|1.0|4.0|2.0|3.0,N/A
"Wind and the Lion, The",1975,Adventure,3,3,N/A
French Connection II,1975,Action,3,3,N/A
Karate Bullfighter,1975,Action,3,3,N/A
"Apple Dumpling Gang, The",1975,Children,2.6,2.0|3.5|2.0|3.5|3.0|2.0|2.0|2.0|3.0|3.0,N/A
Deep Red (Profondo rosso),1975,Horror,2.6,2.5|2.5|0.5|4.0|3.5,N/A
"Day of the Locust, The",1975,Drama,2,2,N/A
"Land That Time Forgot, The",1975,Adventure,1.5,1.0|2.0,N/A
Mitchell,1975,Action,0.75,1.0|0.5,N/A
"Giant Spider Invasion, The",1975,Horror,0.5,0.5,N/A
In the Realm of the Senses (Ai no corrida),1976,Drama,5,5,N/A
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),1976,Comedy,5,5.0|5.0,N/A
The Big Bus,1976,Action,5,5,N/A
Harlan County U.S.A.,1976,Documentary,5,5,N/A
12 Chairs,1976,Adventure,5,5,N/A
1900 (Novecento),1976,Drama,4.5,4.5,N/A
Shaolin Temple (Shao Lin si),1976,Action,4.5,4.5,N/A
"Outlaw Josey Wales, The",1976,Action,4.25,5.0|4.0|4.0|4.5|4.0|5.0|4.0|5.0|4.0|3.0|5.0|5.0|5.0|4.0|3.0|4.0|4.0|4.0,N/A
"Man Who Fell to Earth, The",1976,Drama,4.25,3.5|3.5|5.0|5.0,N/A
"Tenant, The (Locataire, Le)",1976,Drama,4.25,4.5|4.0,N/A
Taxi Driver,1976,Crime,4.11,4.5|4.0|4.0|5.0|2.0|4.0|4.0|5.0|5.0|3.0|4.0|4.5|5.0|3.0|4.0|4.5|4.5|4.0|4.0|4.0|5.0|4.0|5.0|4.0|5.0|4.0|5.0|4.5|5.0|4.5|4.5|5.0|2.0|3.0|5.0|4.0|4.5|4.5|5.0|3.0|4.0|3.0|3.0|4.0|5.0|3.5|5.0|2.0|3.0|3.0|3.5|5.0|5.0|5.0|2.0|3.5|4.0|4.0|4.0|5.0|4.0|3.5|5.0|3.0|3.0|5.0|4.5|5.0|4.5|5.0|3.0|4.0|5.0|4.5|4.5|4.0|4.0|5.0|5.0|3.0|4.0|3.5|3.0|5.0|5.0|3.0|5.0|4.0|4.5|3.0|5.0|4.0|3.0|4.0|4.0|4.5|5.0|4.0|3.5|5.0|4.0|3.5|3.0|5.0,assassination
Network,1976,Comedy,4.02,4.0|4.5|4.0|4.5|4.0|5.0|5.0|4.5|1.0|3.0|5.0|4.5|4.5|4.0|5.0|4.0|4.0|4.0|4.0|4.0|4.0|2.0,journalism
All the President's Men,1976,Drama,4.02,4.0|4.5|5.0|4.0|4.0|3.0|3.5|4.0|4.0|4.0|4.0|3.5|4.0|5.0|4.0|4.0|4.0|4.5|3.5|4.5|4.5|4.0|3.5|4.0|4.0|4.0|3.5,deep throat|journalism|watergate
"Enforcer, The",1976,Crime,4,4,N/A
"Little Girl Who Lives Down the Lane, The",1976,Drama,4,4,N/A
Rocky,1976,Drama,3.83,5.0|4.5|4.0|2.0|4.0|3.5|4.5|4.0|5.0|5.0|3.0|4.0|0.5|3.5|4.0|4.0|3.5|4.5|2.0|4.5|3.0|3.5|4.0|3.5|4.5|5.0|4.0|5.0|2.5|5.0|2.0|3.0|4.0|5.0|4.0|5.0|3.0|4.0|3.0|2.5|4.0|4.0|4.0|5.0|4.0|4.0|4.5|5.0|4.0|5.0|0.5|3.5|3.0|4.5|4.0|4.0|4.5|5.0|4.0|2.0|4.0|3.5|4.0|4.5,sports|boxing
"Omen, The",1976,Horror,3.82,4.5|4.5|3.0|4.0|3.5|3.0|3.0|4.0|4.5|5.0|3.0|4.0|4.0|4.0|4.0|5.0|3.0|5.0|2.5|3.0|4.0|3.5,demons
Burnt Offerings,1976,Horror,3.75,4.5|3.0,N/A
Car Wash,1976,Comedy,3.75,4.5|3.0,N/A
"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma)",1976,Drama,3.67,3.0|4.0|4.0,inhumane|harsh|disturbing|bleak|haunting|confrontational|thought-provoking
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix)",1976,Action,3.67,3.0|4.0|4.0,N/A
Silver Streak,1976,Action,3.67,4.0|4.0|3.0,N/A
Assault on Precinct 13,1976,Action,3.6,3.0|3.5|3.0|4.0|4.5,N/A
"Shootist, The",1976,Drama,3.5,3.5,N/A
Silent Movie,1976,Comedy,3.5,3.5,N/A
Fellini's Casanova (Il Casanova di Federico Fellini),1976,Drama,3.5,3.5|3.5,N/A
Marathon Man,1976,Crime,3.46,3.0|4.0|4.0|3.0|3.0|4.0|3.5|5.0|2.0|2.5|3.5|4.0|3.5,N/A
"Pink Panther Strikes Again, The",1976,Comedy,3.4,3.0|4.0|3.5|3.5|3.0,N/A
Carrie,1976,Drama,3.35,3.0|4.5|3.0|3.0|3.0|3.5|4.5|3.0|3.5|3.5|3.0|1.0|3.0|3.5|3.0|3.0|2.0|4.0|4.0|3.0|4.5|4.5|4.0|3.5|4.0|3.5|1.0|4.0|3.0|4.0|4.0|1.0|3.5|5.0|4.0|3.0,prom|stephen king|high school
Midway,1976,Drama,3.33,3.0|3.0|4.0,N/A
"Bad News Bears, The",1976,Comedy,3.28,3.0|3.5|4.0|3.0|2.5|3.5|1.5|3.5|5.0,baseball
"Eagle Has Landed, The",1976,Drama,3.25,3.5|4.0|3.0|3.0|3.0|3.0,N/A
Robin and Marian,1976,Adventure,3.25,3.0|3.5,N/A
Logan's Run,1976,Action,3.23,3.0|2.0|4.0|4.0|2.5|4.0|3.0|3.0|3.0|3.0|3.5|4.0|4.0|2.0|3.0|2.0|3.0|3.0|4.0|4.0|3.5|4.0|2.0|4.0,N/A
Family Plot,1976,Comedy,3.17,3.0|3.0|3.5,N/A
Obsession,1976,Mystery,3,3,N/A
Kenny & Company,1976,Comedy,3,3,N/A
"Shaggy D.A., The",1976,Children,2.83,3.5|3.0|2.0,N/A
Murder by Death,1976,Comedy,2.83,3.0|3.0|2.5,N/A
Bugsy Malone,1976,Children,2.75,3.0|2.5,N/A
King Kong,1976,Adventure,2.71,2.0|3.0|3.0|1.0|2.0|2.0|3.0|2.5|2.0|3.0|3.0|3.0|5.0|3.5,N/A
Futureworld,1976,Sci-Fi,2.5,2.5,N/A
"Seven-Per-Cent Solution, The",1976,Adventure,2.5,2.5,N/A
Squirm,1976,Horror,2,2,N/A
"American Friend, The (Amerikanische Freund, Der)",1977,Crime,5,5,N/A
Bobik Visiting Barbos,1977,Animation,5,5,N/A
Star Wars: Episode IV - A New Hope,1977,Action,4.23,5.0|5.0|5.0|5.0|3.0|5.0|4.0|4.0|4.5|5.0|4.0|4.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|4.0|5.0|4.0|4.5|5.0|3.5|2.5|5.0|5.0|3.0|5.0|2.0|5.0|4.0|5.0|3.5|5.0|3.5|4.0|4.5|5.0|4.5|5.0|5.0|5.0|4.0|3.0|4.0|5.0|4.0|3.5|5.0|5.0|5.0|4.5|4.0|5.0|4.0|2.5|2.0|4.0|4.0|4.0|4.0|4.0|4.0|3.0|4.0|1.0|5.0|4.5|4.0|4.0|2.5|4.5|3.5|4.0|4.0|5.0|4.0|5.0|4.0|5.0|5.0|4.0|4.5|5.0|4.5|2.5|4.5|5.0|5.0|5.0|3.5|2.0|4.5|3.5|4.5|4.0|4.5|5.0|5.0|5.0|4.0|3.5|5.0|4.0|4.0|4.0|5.0|4.0|5.0|4.0|3.0|4.0|5.0|4.0|5.0|4.0|5.0|5.0|4.0|5.0|4.0|5.0|3.5|5.0|5.0|3.5|2.5|5.0|3.0|5.0|4.0|3.0|4.5|5.0|4.0|4.0|5.0|3.0|5.0|4.5|4.0|4.0|4.0|4.0|2.0|4.5|2.0|4.0|3.0|5.0|4.0|3.5|2.0|4.0|4.0|5.0|3.5|5.0|4.0|4.5|5.0|5.0|5.0|5.0|4.0|4.0|4.0|3.0|5.0|4.0|3.0|5.0|3.0|3.5|3.5|5.0|5.0|5.0|5.0|4.0|5.0|5.0|5.0|5.0|4.0|5.0|5.0|4.0|0.5|4.0|5.0|1.5|4.0|4.0|5.0|4.5|4.0|4.5|4.5|4.0|4.0|5.0|5.0|2.0|4.0|4.0|5.0|5.0|5.0|5.0|3.5|5.0|5.0|4.0|5.0|5.0|5.0|4.5|5.0|3.5|2.0|3.5|5.0|3.0|5.0|4.0|4.5|2.0|3.5|5.0|5.0|5.0|4.0|4.0|4.5|5.0|5.0|5.0|4.0|5.0|5.0|4.0|5.0|4.0|5.0|4.5|3.0|3.5|5.0,epic|sci-fi|robots and androids|darth vader|classic|luke skywalker|engrossing adventure|space opera|space action|nerd|space adventure|great soundtrack|oldie but goodie|space|action|classic sci-fi|space epic|star wars
"Duellists, The",1977,Action,4.17,4.0|4.5|4.0,N/A
3 Women (Three Women),1977,Drama,4.17,4.0|4.0|4.5,N/A
Candleshoe,1977,Adventure,4,4,N/A
For the Love of Benji,1977,Adventure,4,4,N/A
MacArthur,1977,Drama,4,4,N/A
Stroszek,1977,Comedy,4,4,N/A
Allegro non troppo,1977,Animation,4,4,N/A
Martin,1977,Drama,4,4,N/A
"Turning Point, The",1977,Drama,4,4,N/A
Julia,1977,Drama,4,4,N/A
"Special Day, A (Giornata particolare, Una)",1977,Drama,4,4,N/A
21 Up,1977,Documentary,4,4.0|4.0|4.0,N/A
Mimino,1977,Comedy,4,4,N/A
A Cosmic Christmas,1977,(no genres listed),4,4,N/A
Suspiria,1977,Horror,3.94,5.0|2.5|5.0|4.5|1.5|4.0|4.0|5.0,N/A
Annie Hall,1977,Comedy,3.87,4.0|2.5|2.0|3.5|5.0|4.0|1.5|4.0|4.0|5.0|4.0|5.0|2.0|5.0|3.0|3.0|5.0|2.0|4.0|3.5|1.0|3.5|4.0|5.0|2.0|3.0|2.5|4.0|3.0|4.0|4.5|3.5|5.0|5.0|4.0|5.0|5.0|4.0|5.0|5.0|5.0|4.5|5.0|4.0|5.0|3.0|4.5|2.5|1.5|4.0|5.0|5.0|5.0|4.0|5.0|4.0|4.5|3.0,new york
Slap Shot,1977,Comedy,3.86,3.5|2.0|4.5|4.0|5.0|3.0|5.0,N/A
"Bridge Too Far, A",1977,Action,3.79,4.5|3.5|3.5|4.0|3.5|3.5|4.0,N/A
Eraserhead,1977,Drama,3.75,4.0|3.0|4.0|3.0|4.0|5.0|3.5|5.0|2.5|3.5,dreamlike|insane|atmospheric|gruesome|cryptic|strange|creepy|disturbing|fucked up|paranoid|enigmatic|in netflix queue|weird|hallucinatory|dark|surreal|art house
Office Romance,1977,Comedy,3.75,3.0|4.5,N/A
Close Encounters of the Third Kind,1977,Adventure,3.74,4.0|4.0|5.0|5.0|4.0|1.5|4.0|3.0|4.0|3.0|3.0|4.0|3.0|3.0|3.0|4.0|5.0|3.5|5.0|4.0|2.5|4.0|3.0|5.0|1.0|3.5|4.0|4.0|4.0|5.0|2.0|3.5|3.0|5.0|3.0|5.0|3.5|4.0|3.5|4.5|4.0|4.0|4.0|3.5|4.0|3.0|2.5|3.5|5.0|5.0|5.0|3.5|4.0|4.0|4.0|4.5|3.5|4.0|3.0|2.5,N/A
"Goodbye Girl, The",1977,Comedy,3.71,4.0|3.0|3.5|3.0|3.0|4.0|5.0|3.5|5.0|2.5|4.0|4.0,N/A
Pumping Iron,1977,Documentary,3.67,4.0|4.0|3.0,N/A
"Kentucky Fried Movie, The",1977,Comedy,3.5,5.0|2.5|3.0,N/A
Jabberwocky,1977,Adventure,3.5,3.5|3.5,N/A
"Gauntlet, The",1977,Action,3.5,4.0|3.0,N/A
"Hills Have Eyes, The",1977,Horror,3.5,3.5|3.5,N/A
Equus,1977,Drama,3.5,3.5,N/A
Desperate Living,1977,Comedy,3.5,3.5,N/A
High Anxiety,1977,Comedy,3.5,3.5,N/A
"Many Adventures of Winnie the Pooh, The",1977,Animation,3.5,3.5,N/A
"Ascent, The (Voskhozhdeniye)",1977,Drama,3.5,3.5,N/A
"Spy Who Loved Me, The",1977,Action,3.44,4.5|4.0|4.0|2.0|4.0|4.0|3.0|3.5|3.0|5.0|3.5|3.0|4.0|4.0|3.0|3.0|3.5|1.0,N/A
Saturday Night Fever,1977,Comedy,3.32,4.0|3.5|4.5|4.0|2.0|3.5|3.5|2.5|3.0|2.5|3.5,N/A
Airport '77,1977,Drama,3.25,2.0|3.0|3.0|5.0,N/A
"Rescuers, The",1977,Adventure,3.19,5.0|0.5|3.0|4.0|4.0|3.0|3.0|3.0|4.0|4.0|3.0|3.0|2.0,N/A
Roots,1977,Drama,3.17,3.5|3.5|2.5,N/A
That Obscure Object of Desire (Cet obscur objet du désir),1977,Drama,3.13,4.0|2.0|4.0|2.5,N/A
Sinbad and the Eye of the Tiger,1977,Adventure,3,3,N/A
"Last Wave, The",1977,Fantasy,3,3,N/A
Jubilee,1977,Drama,3,3,N/A
A Man Called Blade,1977,Action,3,3,N/A
Long Live Ghosts!,1977,Children,3,3,N/A
Pete's Dragon,1977,Adventure,2.77,3.0|3.0|3.0|3.5|2.0|4.0|3.0|2.0|2.0|4.0|2.0|2.0|3.0|2.0|3.0,disney
Smokey and the Bandit,1977,Action,2.72,4.0|2.5|4.0|2.0|3.0|4.0|0.5|2.5|2.0,N/A
Freaky Friday,1977,Children,2.63,2.0|3.0|2.0|3.0|2.0|4.0|3.0|2.0,N/A
Rollercoaster,1977,Drama,2.5,2.0|3.0,N/A
"People That Time Forgot, The",1977,Adventure,2.5,2.5,N/A
"Oh, God!",1977,Comedy,2.5,4.0|1.0|3.0|2.0,N/A
"New York, New York",1977,Drama,2.5,2.5,N/A
Crime Busters,1977,Action,2.5,2.5,N/A
Herbie Goes to Monte Carlo,1977,Adventure,2.33,1.0|2.0|4.0,N/A
Audrey Rose,1977,Horror,2,2,N/A
Billy Jack Goes to Washington,1977,Drama,2,2,N/A
I Never Promised You a Rose Garden,1977,Drama,2,2,N/A
Wizards,1977,Animation,2,2,N/A
Exorcist II: The Heretic,1977,Horror,1.5,2.0|1.5|1.0|1.5,N/A
Eaten Alive,1977,Horror,1.5,1.5,N/A
Orca: The Killer Whale,1977,Action,1.5,1.5,N/A
"Christmas Carol, A",1977,Drama,0.5,0.5,N/A
Connections,1978,Documentary,5,5,N/A
Three from Prostokvashino,1978,Animation,5,5,N/A
De platte jungle,1978,Documentary,5,5,N/A
Autumn Sonata (Höstsonaten),1978,Drama,4.63,5.0|5.0|4.5|4.0,N/A
"Last Waltz, The",1978,Documentary,4.5,4.5,N/A
Ordinary Miracle,1978,Comedy,4.5,4.5,N/A
Interiors,1978,Drama,4.17,3.5|4.0|5.0,N/A
Game of Death,1978,Action,4.17,3.5|5.0|4.0,N/A
Watership Down,1978,Adventure,4.05,4.0|4.5|4.0|5.0|4.0|4.0|3.5|3.0|4.0|4.5,beautiful|atmospheric
Drunken Master (Jui kuen),1978,Action,4.05,5.0|3.5|3.0|5.0|4.0|3.0|5.0|4.0|3.0|5.0,N/A
Midnight Express,1978,Drama,4,5.0|4.0|4.0|4.0|4.0|4.0|5.0|2.0,in netflix queue
Who'll Stop the Rain,1978,Crime,4,4,N/A
Invincible Shaolin,1978,Action,4,4,N/A
Devil Dog: The Hound of Hell,1978,Horror,4,4,N/A
Dawn of the Dead,1978,Action,3.98,2.0|3.0|2.0|5.0|5.0|4.0|2.5|4.5|4.5|5.0|4.0|5.0|3.5|4.0|4.0|3.0|5.0|4.0|4.5|5.0,N/A
"Deer Hunter, The",1978,Drama,3.83,0.5|4.0|3.5|5.0|4.5|5.0|4.0|4.0|5.0|4.0|3.0|5.0|4.5|2.0|3.0|5.0|3.0|4.0|5.0|3.5|4.0|3.0|3.0|1.5|4.5|4.0|5.0|4.0|3.5|4.5|4.0|3.0|4.5|4.5|4.0|1.0|4.0|4.0|3.0|5.0|3.0|5.0|5.0,vietnam
Invasion of the Body Snatchers,1978,Horror,3.75,4.0|3.5|3.5|4.5|4.5|2.5,N/A
Halloween,1978,Horror,3.72,5.0|3.0|3.0|2.0|3.0|5.0|3.0|3.0|4.0|3.0|4.0|5.0|3.0|1.5|3.5|3.0|3.0|4.0|5.0|4.0|5.0|4.0|5.0|3.0|4.0|5.0|4.5,N/A
Animal House,1978,Comedy,3.69,4.0|4.0|5.0|2.5|4.5|3.5|3.0|3.5|4.0|3.0|1.0|3.0|4.0|3.0|5.0|2.0|2.5|4.5|4.0|4.5|5.0|4.0|5.0|5.0|3.0|4.0|5.0|3.0|5.0|4.0|1.0|3.0|1.0|5.0|3.0|5.0|5.0|4.0|4.0|5.0|5.0|3.5|4.0|3.0|2.0|5.0|4.0|3.0|3.5|4.0|4.0|5.0|4.0|4.0|3.0|1.0|3.5|2.5|4.0|5.0|3.5|3.0,toga|college
"Boys from Brazil, The",1978,Action,3.69,4.0|5.0|4.0|3.0|3.0|3.5|3.0|4.0,N/A
Days of Heaven,1978,Drama,3.67,4.0|3.0|4.0,N/A
Coma,1978,Thriller,3.67,3.0|4.0|4.0,N/A
Superman,1978,Action,3.61,4.0|3.0|3.0|4.0|4.0|4.5|3.5|1.5|4.5|3.0|4.0|4.0|5.0|3.0|4.0|4.0|4.0|5.0|4.0|3.0|3.5|4.0|5.0|3.0|4.0|3.0|5.0|3.0|4.0|1.0|4.0|3.0|2.5|4.0|3.0|4.0|3.0|4.0|2.5|5.0|3.5|4.0|5.0|3.0|3.0|4.0|3.0|4.0|3.0|4.0|4.0|3.0|3.5|4.0|4.0|3.5|4.0|4.0|3.5|2.0|2.5,superhero
"Buddy Holly Story, The",1978,Drama,3.6,3.0|3.5|3.5|4.0|4.0,N/A
Cheech and Chong's Up in Smoke,1978,Comedy,3.59,3.0|3.5|5.0|2.0|1.0|5.0|4.0|4.0|5.0|3.0|4.0,N/A
Inglorious Bastards (Quel maledetto treno blindato),1978,Action,3.57,4.5|4.0|4.5|3.0|4.0|4.5|0.5,N/A
Eyes of Laura Mars,1978,Mystery,3.5,3.0|4.0|3.0|4.0,N/A
The Great Train Robbery,1978,Action,3.5,3.5,N/A
Five Deadly Venoms,1978,Action,3.5,3.5,N/A
Orchestra Rehearsal (Prova d'orchestra),1978,Drama,3.5,3.5,N/A
Coming Home,1978,Drama,3.3,4.0|2.0|4.0|3.5|3.0,vietnam
Heaven Can Wait,1978,Comedy,3.27,4.0|3.0|3.0|2.0|3.0|3.0|3.0|4.0|4.0|4.0|2.5|4.0|3.0,N/A
Revenge of the Pink Panther,1978,Comedy,3.25,3.5|3.0,N/A
Snake in the Eagle's Shadow (Se ying diu sau),1978,Action,3.25,3.0|3.5,N/A
Grease,1978,Comedy,3.14,3.0|5.0|2.5|3.5|4.0|2.0|4.0|4.5|3.0|4.5|4.5|3.0|1.0|0.5|4.5|3.5|2.5|5.0|3.0|3.0|2.5|3.5|1.0|4.0|2.5|4.0|0.5|2.0|4.0|2.5|3.5|3.0|0.5|3.5|3.5|2.5|4.0|4.0|2.0|3.0|4.0|3.0|1.5|4.0|3.0|2.0|3.0|4.0|4.0|3.0|2.0|4.0|3.0|1.0|2.0|4.5|4.5|5.0|2.0|3.5|3.0|3.0|3.0|5.0|3.0|3.5|4.0|3.5,high school
"Lord of the Rings, The",1978,Adventure,3.13,5.0|2.5|3.0|4.0|3.0|2.5|3.0|5.0|1.5|4.0|2.0|4.0|1.5|4.0|2.0,classic|tolkein
Hot Lead and Cold Feet,1978,Action,3,3,N/A
"Fury, The",1978,Horror,3,3.0|4.0|1.0|4.0,N/A
Death on the Nile,1978,Crime,3,3,N/A
"Cage aux Folles, La",1978,Comedy,3,3,N/A
"Cheap Detective, The",1978,Comedy,3,3,N/A
Every Which Way But Loose,1978,Comedy,3,3.0|2.0|4.0,N/A
Big Wednesday,1978,Comedy,3,3,N/A
Force 10 from Navarone,1978,Action,2.92,3.0|3.0|3.0|3.0|2.0|3.5,N/A
Damien: Omen II,1978,Horror,2.88,1.0|3.5|3.0|4.0,N/A
Foul Play,1978,Comedy,2.75,3.5|2.0,N/A
Piranha,1978,Horror,2.64,4.5|2.0|2.0|3.0|3.0|3.0|1.0,N/A
I Spit on Your Grave (Day of the Woman),1978,Horror,2.63,1.0|3.0|3.0|3.5,N/A
Jaws 2,1978,Horror,2.62,2.0|2.5|3.0|2.0|3.0|1.0|2.0|2.0|4.0|3.5|1.0|2.5|3.0|3.0|3.0|5.0|2.0,N/A
Avalanche,1978,Action,2.5,4.0|3.0|0.5,N/A
"Cat from Outer Space, The",1978,Children,2.33,1.0|3.0|3.0,N/A
Return from Witch Mountain,1978,Children,2.25,1.0|2.0|3.0|3.0,N/A
"Swarm, The",1978,Action,2.25,2.0|2.5,N/A
Attack of the Killer Tomatoes!,1978,Comedy,2.2,2.0|2.5|3.0|2.5|1.0,N/A
Ice Castles,1978,Drama,2,1.5|2.5,figure skating
"Wiz, The",1978,Adventure,2,2,N/A
Faces of Death,1978,Documentary,1.75,2.0|1.5,N/A
Starcrash (a.k.a. Star Crash),1978,Action,0.5,0.5,N/A
The Star Wars Holiday Special,1978,Adventure,0.5,0.5,N/A
Moscow Does Not Believe in Tears (Moskva slezam ne verit),1979,Drama,5,5,N/A
Last Hurrah for Chivalry (Hao xia),1979,Action,5,5,N/A
"Marriage of Maria Braun, The (Ehe der Maria Braun, Die)",1979,Drama,5,5,N/A
Scooby-Doo Goes Hollywood,1979,Animation,5,5,N/A
The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature,1979,Crime,5,5,N/A
Sherlock Holmes and Dr. Watson: Acquaintance,1979,Crime,5,5,N/A
Priklyucheniya Kapitana Vrungelya,1979,Action,5,5,N/A
Dracula,1979,Horror,4.5,4.5,N/A
That Munchhausen,1979,Comedy,4.5,4.5,N/A
Apocalypse Now,1979,Action,4.22,4.0|4.0|4.0|3.5|4.0|3.0|4.0|2.0|4.5|4.0|5.0|4.5|5.0|5.0|3.0|5.0|4.0|5.0|2.5|5.0|4.0|5.0|4.0|5.0|5.0|5.0|2.0|4.0|5.0|5.0|5.0|5.0|3.0|5.0|4.0|4.5|5.0|5.0|3.5|5.0|5.0|5.0|5.0|4.0|5.0|3.5|4.5|3.5|4.5|4.0|5.0|4.0|2.5|5.0|4.0|5.0|4.0|4.0|2.5|4.0|4.5|5.0|3.5|5.0|3.5|5.0|5.0|3.0|5.0|5.0|4.0|2.0|4.0|5.0|5.0|5.0|3.0|3.5|5.0|3.5|3.5|5.0|4.0|3.0|3.0|5.0|5.0|3.5|5.0|4.0|4.5|4.0|4.0|4.0|3.0|5.0|4.0|5.0|3.5|4.5|3.0|5.0|5.0|5.0|4.5|3.0|5.0,vietnam
Manhattan,1979,Comedy,4.11,4.0|5.0|4.0|4.5|5.0|4.0|2.0|3.5|5.0|4.5|4.0|3.0|3.0|4.0|4.5|3.0|4.0|4.0|4.5|4.0|5.0|3.0|4.0|3.5|4.0|5.0|3.5|4.0|5.0|4.0|5.0|5.0|5.0,black and white
Breaking Away,1979,Comedy,4.09,5.0|4.0|4.0|4.0|5.0|4.5|4.0|3.0|3.5|4.0|4.0,N/A
All That Jazz,1979,Drama,4.08,4.5|4.0|5.0|3.0|4.0|4.0,N/A
Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2),1979,Horror,4,4.0|4.0,N/A
Nosferatu the Vampyre (Nosferatu: Phantom der Nacht),1979,Horror,4,4,N/A
Love at First Bite,1979,Comedy,4,4,N/A
The Magnificent Ruffians,1979,Action,4,4,N/A
Autumn Marathon,1979,Comedy,4,4,N/A
